0.038380	0.038380	
0.305618	0.305618	
0.534476	0.534476	
0.743433	0.743433	
0.972291	0.972291	
1.202570	1.202570	
1.375991	1.375991	
1.583526	1.583526	
1.825178	1.825178	
2.025606	2.025606	
2.245935	2.245935	
2.426463	2.426463	
2.662428	2.662428	
2.877071	2.877071	
3.093136	3.093136	
3.287879	3.287879	
3.519580	3.519580	
3.759809	3.759809	
4.009989	4.009989	
4.184831	4.184831	
4.363937	4.363937	
4.634018	4.634018	
4.821653	4.821653	
4.997917	4.997917	
5.221089	5.221089	
5.407302	5.407302	
5.569351	5.569351	
5.752721	5.752721	
5.910505	5.910505	
6.075397	6.075397	
6.371064	6.371064	
6.544485	6.544485	
6.679525	6.679525	
6.851524	6.851524	
7.054795	7.054795	
7.300711	7.300711	
7.494032	7.494032	
7.637601	7.637601	
7.846559	7.846559	
8.078259	8.078259	
8.315646	8.315646	
8.551612	8.551612	
8.796106	8.796106	
9.006485	9.006485	
9.194120	9.194120	
9.397391	9.397391	
9.577919	9.577919	
9.739967	9.739967	
