0.000000	0.000000	  
0.343740	0.343740	
0.558130	0.558130	
0.777523	0.777523	
1.009065	1.009065	
1.237749	1.237749	
1.418552	1.418552	
1.632942	1.632942	
1.860196	1.860196	
2.065297	2.065297	
2.278973	2.278973	
2.479071	2.479071	
2.686315	2.686315	
2.891416	2.891416	
3.122957	3.122957	
3.342351	3.342351	
3.566746	3.566746	
3.804720	3.804720	
4.050554	4.050554	
4.227784	4.227784	
4.405014	4.405014	
4.657280	4.657280	
4.867383	4.867383	
5.038895	5.038895	
5.249713	5.249713	
5.464104	5.464104	
5.606316	5.606316	
5.782831	5.782831	
5.980785	5.980785	
6.139434	6.139434	
6.385983	6.385983	
6.566786	6.566786	
6.702567	6.702567	
6.883370	6.883370	
7.099904	7.099904	
7.332876	7.332876	
7.522969	7.522969	
7.656605	7.656605	
7.893150	7.893150	
8.117545	8.117545	
8.349802	8.349802	
8.576341	8.576341	
8.834325	8.834325	
9.047286	9.047286	
9.234521	9.234521	
9.423185	9.423185	
9.596841	9.596841	
9.776929	9.776929	
10.004898	10.004898	
10.742402	10.742402	
11.234071	11.234071	
11.742892	11.742892	
12.245995	12.245995	
12.721633	12.721633	
13.505306	13.505306
